V0037403EL,"(1770, 1221)"
V0037403ER,"(1772, 1241)"
V0037404,"(2089, 3355)"
V0037405EL,"(1803, 1239)"
V0037405ER,"(1769, 1240)"
V0037406,"(3189, 2193)"
V0037407EL,"(1318, 1859)"
V0037407ER,"(1306, 1861)"
V0037408,"(2278, 3138)"
V0037409,"(2244, 3137)"
V0037410,"(3129, 2237)"
V0037411,"(3094, 2205)"
V0037412,"(3152, 2220)"
V0037413,"(3189, 2204)"
V0037414,"(3163, 2220)"
V0037415,"(3165, 2222)"
V0037416EL,"(1778, 1239)"
V0037416ER,"(1739, 1240)"
V0037417EL,"(1240, 1798)"
V0037417ER,"(1800, 1239)"
V0037418,"(2203, 3171)"
V0037419,"(2243, 3181)"
V0037420,"(3164, 2208)"
V0037421,"(2219, 3172)"
V0037422,"(2220, 3158)"
V0037423,"(2215, 3156)"
V0037424,"(3189, 2225)"
V0037425,"(3165, 2210)"
V0037426,"(3142, 2229)"
V0037427,"(3165, 2207)"
V0037428,"(2244, 3149)"
V0037429,"(2243, 3180)"
V0037430,"(2219, 3174)"
V0037431,"(3189, 2195)"
V0037432,"(2221, 3159)"
V0037433,"(2244, 3165)"
V0037434,"(3189, 2215)"
V0037435,"(2244, 3180)"
V0037436,"(3165, 2225)"
V0037437,"(6200, 2864)"
V0037438,"(3189, 2236)"
V0037441,"(3188, 2194)"
V0037443,"(3207, 2307)"
V0037444,"(2244, 3140)"
V0037445,"(2208, 3166)"
V0037446,"(3212, 2252)"
V0037447,"(3201, 2183)"
V0037448,"(3176, 2212)"
V0037449,"(3910, 1787)"
V0037450,"(3268, 2268)"
V0037451,"(3635, 2544)"
V0037452,"(4748, 1852)"
V0037453,"(3196, 2260)"
V0037454,"(3230, 2256)"
V0037455,"(3437, 2038)"
V0037456,"(3306, 2302)"
V0037457,"(3188, 2230)"
V0037458,"(2283, 3164)"
V0037459,"(3843, 1817)"
V0037460,"(2465, 3021)"
V0037461,"(2278, 3214)"
V0037462,"(2361, 3047)"
V0037463,"(3152, 2232)"
V0037464,"(3196, 2264)"
V0037465,"(3200, 2248)"
V0037466,"(3144, 2308)"
V0037467,"(4076, 1820)"
V0037468,"(4674, 1606)"
V0037469,"(3306, 2312)"
V0037470,"(2244, 3172)"
V0037471,"(3188, 2210)"
V0037472,"(2361, 3344)"
V0037473,"(3192, 2244)"
V0037474,"(3241, 2234)"
V0037475,"(3180, 2244)"
V0037476,"(2509, 2814)"
V0037477,"(2256, 3194)"
V0037478,"(2292, 3127)"
V0037479,"(3034, 2319)"
V0037480,"(3141, 2239)"
V0037481,"(3069, 2527)"
V0037482,"(3183, 2481)"
V0037483,"(3364, 2585)"
V0037484,"(3243, 2772)"
V0037485,"(3540, 2961)"
V0037486,"(3364, 2524)"
V0037487,"(3189, 2244)"
V0037488,"(3189, 2302)"
V0037489,"(3189, 2256)"
V0037490,"(3189, 2228)"
V0037491,"(3188, 2273)"
V0037492,"(3189, 2261)"
V0037493,"(3308, 2256)"
V0037494,"(3189, 2204)"
V0037495,"(3189, 2244)"
V0037496,"(3189, 2207)"
V0037497,"(2244, 3256)"
V0037498,"(4050, 1834)"
V0037499,"(3425, 2169)"
V0037500,"(3356, 2463)"
V0037501,"(2372, 3409)"
V0037502,"(3319, 2366)"
V0037503,"(3248, 2148)"
V0037504,"(3236, 2176)"
V0037505,"(3306, 2132)"
V0037506,"(3248, 2153)"
V0037507,"(3471, 2640)"
V0037508,"(2304, 3102)"
V0037509,"(3450, 2252)"
V0037510,"(2279, 3082)"
V0037511,"(3065, 2278)"
V0037512,"(3095, 2272)"
V0037513,"(3095, 2317)"
V0037514,"(3071, 2298)"
V0037515,"(3307, 2262)"
V0037516,"(3071, 2398)"
V0037517,"(3188, 2468)"
V0037518,"(3188, 2375)"
V0037519,"(3070, 2472)"
V0037520,"(3040, 2352)"
V0037525,"(3028, 2352)"
V0037526,"(3070, 2394)"
V0037527,"(2126, 3389)"
V0037528,"(3543, 1994)"
V0037529,"(3305, 2153)"
V0037530,"(2717, 2583)"
V0037531,"(3029, 2310)"
V0037532,"(3012, 2342)"
V0037533,"(3018, 2316)"
V0037534,"(3071, 2272)"
V0037535,"(3094, 2258)"
V0037536,"(3071, 2295)"
V0037537,"(3071, 2299)"
V0037538,"(2965, 2370)"
V0037539,"(3687, 1952)"
V0037541,"(3145, 2504)"
V0037542,"(2936, 2504)"
V0037543,"(3048, 2400)"
V0037544,"(2992, 2576)"
V0037545,"(3028, 2484)"
V0037546,"(3032, 2536)"
V0037547,"(3536, 3040)"
V0037548,"(2960, 2493)"
V0037549,"(3052, 2496)"
V0037550,"(3064, 2397)"
V0037551,"(2996, 2436)"
V0037552,"(3224, 2340)"
V0037553,"(2928, 2560)"
V0037554,"(3156, 2413)"
V0037555,"(4133, 1761)"
V0037556,"(3032, 2580)"
V0037557,"(4134, 1710)"
V0037558,"(2940, 2480)"
V0037559,"(3000, 2500)"
V0037560,"(3016, 2500)"
V0037561,"(2948, 2524)"
V0037562,"(3708, 2247)"
V0037563,"(2518, 2948)"
V0037564,"(2453, 3075)"
V0037565,"(2528, 3015)"
V0037566,"(2964, 2546)"
V0037567,"(2959, 2516)"
V0037568,"(1735, 4041)"
V0037569,"(2516, 2934)"
V0037570,"(2538, 2975)"
V0037571,"(2488, 3066)"
V0037572,"(2928, 2532)"
V0037573,"(2580, 2862)"
V0037574,"(2964, 2560)"
V0037575,"(3380, 2323)"
V0037576,"(3109, 2333)"
V0037577,"(3189, 2331)"
V0037578,"(3431, 2182)"
V0037579,"(2912, 2536)"
V0037580,"(3070, 2536)"
V0037581,"(3088, 2472)"
V0037582,"(3036, 2452)"
V0037583,"(3028, 2584)"
V0037584,"(2916, 2488)"
V0037585,"(3220, 2300)"
V0037586,"(2952, 2604)"
V0037587,"(3024, 2520)"
V0037588,"(2376, 3220)"
V0037589,"(2525, 3039)"
V0037590,"(3070, 2427)"
V0037591,"(3004, 2424)"
V0037592,"(2956, 2412)"
V0037593,"(3121, 2297)"
V0037594,"(2974, 2449)"
V0037595,"(3080, 2448)"
V0037596,"(2971, 2567)"
V0037597,"(2556, 2852)"
V0037599,"(3381, 2289)"
V0037600,"(3180, 2251)"
V0037601,"(3389, 2273)"
V0037602,"(3377, 2205)"
V0037604,"(3236, 2154)"
V0037605,"(3018, 2181)"
V0037606FA,"(3000, 2476)"
V0037607,"(2436, 3010)"
V0037608,"(2424, 3039)"
V0037609,"(3225, 2341)"
V0037610,"(3079, 2295)"
V0037611,"(6992, 5500)"
V0037612,"(7677, 5100)"
V0037613,"(7677, 4982)"
V0037614,"(3121, 2245)"
V0037615,"(3070, 2306)"
V0037616,"(3084, 2331)"
V0037620,"(3124, 2464)"
V0037621,"(3024, 2464)"
V0037622,"(3072, 2544)"
V0037623,"(3044, 2508)"
V0037624,"(3020, 2536)"
V0037625,"(3064, 2416)"
V0037626,"(4252, 1716)"
V0037627,"(3132, 2416)"
V0037628,"(3072, 2360)"
V0037629,"(4132, 1764)"
V0037630,"(4315, 1678)"
V0037631,"(3306, 2386)"
V0037632,"(4250, 1648)"
V0037633,"(2928, 2504)"
V0037634,"(2800, 2664)"
V0037635,"(2872, 2564)"
V0037636,"(3796, 1920)"
V0037637,"(3116, 2461)"
V0037638,"(3537, 2029)"
V0037639,"(3416, 2220)"
V0037640,"(3581, 2229)"
V0037641,"(2492, 2822)"
V0037642,"(2858, 2457)"
V0037643,"(2427, 2885)"
V0037644,"(2669, 2620)"
V0037645,"(2961, 2552)"
V0037646,"(3424, 2102)"
V0037647,"(3405, 2148)"
V0037648,"(3306, 2382)"
V0037649,"(3256, 2468)"
V0037650,"(2602, 2730)"
V0037651,"(2508, 2938)"
V0037652,"(2424, 2940)"
V0037653,"(2403, 2919)"
V0037654,"(2448, 2940)"
V0037655,"(2406, 2944)"
V0037656,"(2412, 2934)"
V0037657,"(3208, 2268)"
V0037658,"(3076, 2391)"
V0037659,"(2951, 2580)"
V0037660,"(3071, 2491)"
V0037661,"(2320, 3040)"
V0037662,"(2362, 2984)"
V0037663,"(2361, 2979)"
V0037664,"(2599, 2906)"
V0037665,"(3189, 2406)"
V0037666,"(3306, 2186)"
V0037667,"(3036, 2320)"
V0037668,"(3053, 2285)"
V0037669,"(3008, 2425)"
V0037670,"(2921, 2537)"
V0037671,"(3046, 2320)"
V0037672,"(3003, 2513)"
V0037673,"(3200, 2400)"
V0037674,"(3168, 2408)"
V0037675,"(3244, 2428)"
V0037676,"(3044, 2492)"
V0037677,"(3196, 2204)"
V0037678,"(3144, 2392)"
V0037679,"(3000, 2492)"
V0037680,"(3088, 2432)"
V0037681,"(3100, 2360)"
V0037682,"(3112, 2408)"
V0037683,"(2999, 2540)"
V0037684,"(2973, 2508)"
V0037685,"(2633, 2662)"
V0037686,"(3000, 2434)"
V0037687,"(2700, 2633)"
V0037688,"(3132, 2320)"
V0037689,"(3125, 2239)"
V0037690,"(2260, 3136)"
V0037691,"(2250, 3232)"
V0037692,"(2400, 2916)"
V0037693,"(2313, 3165)"
V0037694,"(2800, 2587)"
V0037695,"(3000, 2393)"
V0037696,"(3100, 2362)"
V0037697,"(2380, 2944)"
V0037698,"(3000, 2399)"
V0037699,"(2325, 3072)"
V0037700,"(3080, 2384)"
V0037701,"(3032, 2240)"
V0037702,"(3220, 2436)"
V0037703,"(2405, 3026)"
V0037704EL,"(1972, 1321)"
V0037704ER,"(1962, 1324)"
V0037705,"(3128, 2440)"
V0037706,"(2972, 2408)"
